epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3773,0.80744,11.2235,0.81475,0.00361,0.48466,0.01031,0.00364,0.79409,1.58604,1.33236,0.0670872,3.29457e-05,3.29457e-05
2,103.035,0.42732,1.79784,0.37,0.00849,0.52796,0.01313,0.00555,0.47408,2.08421,0.59225,0.033787,6.60603e-05,6.60603e-05
3,154.466,0.3254,1.82483,0.28309,0.34559,0.42535,0.03891,0.01883,0.26187,2.09772,0.28186,0.000486552,9.8955e-05,9.8955e-05
4,205.862,0.27773,1.82767,0.22616,0.01961,0.33901,0.034,0.02026,0.23445,2.09687,0.24053,9.901e-05,9.901e-05,9.901e-05
5,257.012,0.2531,1.80428,0.20406,0.02428,0.53737,0.03747,0.02355,0.21688,2.09932,0.2156,9.868e-05,9.868e-05,9.868e-05
6,308.246,0.24428,1.79653,0.1878,0.02599,0.39287,0.03499,0.02425,0.21412,1.99944,0.20501,9.835e-05,9.835e-05,9.835e-05
7,359.591,0.22548,1.78762,0.17891,0.03907,0.41491,0.05201,0.036,0.20918,1.89391,0.20325,9.802e-05,9.802e-05,9.802e-05
8,410.884,0.21401,1.75486,0.16914,0.03442,0.48004,0.04617,0.03406,0.2006,1.88378,0.19047,9.769e-05,9.769e-05,9.769e-05
9,462.083,0.21248,1.69979,0.16815,0.07234,0.40789,0.07778,0.05503,0.20657,1.78425,0.20547,9.736e-05,9.736e-05,9.736e-05
10,513.382,0.22367,1.60642,0.17699,0.10081,0.42728,0.13067,0.08993,0.21686,1.72787,0.2276,9.703e-05,9.703e-05,9.703e-05
11,564.809,0.24546,1.30584,0.20944,0.71844,0.79632,0.81677,0.57596,0.27053,0.94983,0.32851,9.67e-05,9.67e-05,9.67e-05
12,616.166,0.29643,0.81269,0.2874,0.8643,0.78504,0.81164,0.56234,0.28208,0.88353,0.36137,9.637e-05,9.637e-05,9.637e-05
13,667.515,0.28617,0.71963,0.27006,0.88853,0.81045,0.83702,0.57242,0.26924,0.88357,0.33516,9.604e-05,9.604e-05,9.604e-05
14,718.895,0.29236,0.70619,0.27199,0.87736,0.82897,0.86193,0.60153,0.28428,0.75507,0.37141,9.571e-05,9.571e-05,9.571e-05
15,770.097,0.27893,0.669,0.26709,0.87133,0.91927,0.91225,0.63263,0.28423,0.63565,0.37482,9.538e-05,9.538e-05,9.538e-05
16,821.591,0.27137,0.62102,0.25911,0.88302,0.89368,0.89912,0.64176,0.28594,0.61537,0.39125,9.505e-05,9.505e-05,9.505e-05
17,873.165,0.26721,0.59434,0.26818,0.91803,0.87966,0.92569,0.64331,0.29135,0.57079,0.40682,9.472e-05,9.472e-05,9.472e-05
18,924.637,0.26821,0.58681,0.26178,0.90463,0.90683,0.92666,0.67114,0.28078,0.5471,0.36878,9.439e-05,9.439e-05,9.439e-05
