epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8174,0.59733,16.6478,0.62646,0.82102,0.44653,0.53472,0.33511,0.36973,1.07226,0.49147,0.000470795,0.000470795,0.000470795
2,107.511,0.42811,0.77161,0.44432,nan,0.91834,0.61998,0.38254,nan,nan,nan,0.000944002,0.000944002,0.000944002
3,158.738,0.39938,0.83752,0.40399,nan,0.79541,0.59741,0.35761,nan,nan,nan,0.00141407,0.00141407,0.00141407
4,209.92,0.39062,0.7754,0.39084,nan,0.85208,0.63862,0.40439,nan,nan,nan,0.00141485,0.00141485,0.00141485
5,261.113,0.38034,0.75253,0.37659,nan,0.83445,0.62224,0.38496,nan,nan,nan,0.00141014,0.00141014,0.00141014
6,312.25,0.38661,0.77396,0.37236,nan,0.89096,0.57505,0.37284,nan,nan,nan,0.00140542,0.00140542,0.00140542
7,363.384,0.38012,0.80064,0.37408,nan,0.64425,0.48603,0.2945,nan,nan,nan,0.00140071,0.00140071,0.00140071
8,414.623,0.38546,0.78659,0.3842,nan,0.96209,0.77816,0.50044,nan,nan,nan,0.00139599,0.00139599,0.00139599
9,465.786,0.38074,0.74194,0.3759,nan,0.89527,0.74565,0.49568,nan,nan,nan,0.00139127,0.00139127,0.00139127
10,517.012,0.35228,0.6584,0.34427,0.90351,0.79702,0.88162,0.60726,0.32748,0.62088,0.44395,0.00138656,0.00138656,0.00138656
11,568.421,0.35664,0.63982,0.35016,0.8134,0.69986,0.74662,0.50428,0.35622,0.78613,0.47852,0.00138184,0.00138184,0.00138184
12,619.541,0.37364,0.69291,0.37291,nan,0.9204,0.72355,0.46467,nan,nan,nan,0.00137713,0.00137713,0.00137713
13,670.836,0.34946,0.69852,0.34607,nan,0.25895,0.1833,0.12595,nan,nan,nan,0.00137241,0.00137241,0.00137241
