epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3578,1.29146,1.82169,1.69238,0.64687,0.36559,0.48837,0.25303,1.66759,2.3221,2.11423,0.0670872,3.29457e-05,3.29457e-05
2,66.5156,1.08694,1.06927,1.51004,0.80602,0.75283,0.8421,0.52577,1.22873,1.05607,1.65933,0.033787,6.60603e-05,6.60603e-05
3,99.4871,1.06427,0.97168,1.49376,0.76255,0.81723,0.84555,0.53094,1.18817,1.00807,1.5844,0.000486552,9.8955e-05,9.8955e-05
4,132.294,1.03905,0.8999,1.45483,0.83399,0.8825,0.90022,0.59844,1.11163,0.76806,1.51548,9.901e-05,9.901e-05,9.901e-05
5,165.192,1.02429,0.86028,1.43946,0.91933,0.81096,0.9117,0.60851,1.04612,0.7499,1.46674,9.868e-05,9.868e-05,9.868e-05
6,198.064,1.02043,0.79841,1.4347,0.89315,0.86114,0.92191,0.60821,1.10492,0.77167,1.47664,9.835e-05,9.835e-05,9.835e-05
7,230.971,0.97895,0.77713,1.40183,0.89326,0.88053,0.92589,0.61049,1.14199,0.68501,1.62747,9.802e-05,9.802e-05,9.802e-05
8,263.772,0.96968,0.74828,1.4024,0.90631,0.89125,0.95128,0.64787,1.04605,0.65587,1.43493,9.769e-05,9.769e-05,9.769e-05
9,296.577,0.94635,0.74341,1.3706,0.94228,0.90459,0.95585,0.67915,0.99536,0.62448,1.40497,9.736e-05,9.736e-05,9.736e-05
10,329.416,0.91546,0.69163,1.35719,0.90083,0.9001,0.92869,0.65257,0.98089,0.60207,1.3729,9.703e-05,9.703e-05,9.703e-05
11,362.119,0.93829,0.7006,1.37333,0.90981,0.92092,0.92752,0.66752,0.98934,0.5898,1.43308,9.67e-05,9.67e-05,9.67e-05
12,394.836,0.93767,0.72352,1.3774,0.91697,0.86966,0.93726,0.65621,0.97965,0.59252,1.40674,9.637e-05,9.637e-05,9.637e-05
13,427.544,0.89735,0.64507,1.34286,0.94184,0.9433,0.96504,0.68239,0.97182,0.52545,1.38196,9.604e-05,9.604e-05,9.604e-05
14,460.383,0.91114,0.67122,1.34075,0.93105,0.90831,0.95092,0.69149,0.94789,0.54151,1.37556,9.571e-05,9.571e-05,9.571e-05
15,493.229,0.87424,0.65419,1.32579,0.94316,0.92732,0.95589,0.66845,1.03336,0.57599,1.44125,9.538e-05,9.538e-05,9.538e-05
16,525.936,0.87511,0.64205,1.31767,0.9544,0.89838,0.94774,0.67835,0.98712,0.54402,1.38362,9.505e-05,9.505e-05,9.505e-05
17,558.643,0.86175,0.60309,1.3245,0.93364,0.92107,0.9536,0.65873,0.993,0.54982,1.42106,9.472e-05,9.472e-05,9.472e-05
18,591.314,0.86844,0.61686,1.31929,0.93081,0.9041,0.95546,0.68273,1.00808,0.60968,1.37696,9.439e-05,9.439e-05,9.439e-05
19,623.984,0.83831,0.61412,1.29266,0.93494,0.92014,0.95472,0.6809,0.98269,0.57066,1.34599,9.406e-05,9.406e-05,9.406e-05
20,656.687,0.86009,0.60605,1.29315,0.93215,0.92541,0.95887,0.67707,0.99256,0.52396,1.37017,9.373e-05,9.373e-05,9.373e-05
21,689.567,0.86109,0.59504,1.29392,0.94575,0.93302,0.96871,0.69683,0.94072,0.49992,1.30249,9.34e-05,9.34e-05,9.34e-05
22,722.402,0.82511,0.59085,1.26926,0.93799,0.9207,0.96791,0.68094,0.98104,0.5235,1.31815,9.307e-05,9.307e-05,9.307e-05
23,755.154,0.83932,0.59166,1.26497,0.91378,0.91508,0.95467,0.67166,1.01055,0.57464,1.32806,9.274e-05,9.274e-05,9.274e-05
24,787.858,0.84267,0.59737,1.27433,0.92352,0.95651,0.96326,0.68656,1.00458,0.51074,1.39047,9.241e-05,9.241e-05,9.241e-05
25,820.575,0.82805,0.57523,1.27963,0.94094,0.94283,0.96128,0.69271,0.93769,0.50251,1.31925,9.208e-05,9.208e-05,9.208e-05
26,853.234,0.79171,0.56132,1.25746,0.96025,0.95132,0.96188,0.69419,0.94985,0.48326,1.33096,9.175e-05,9.175e-05,9.175e-05
27,885.919,0.79862,0.55634,1.25691,0.94867,0.95492,0.96018,0.70105,0.91647,0.46263,1.29935,9.142e-05,9.142e-05,9.142e-05
28,918.748,0.78306,0.5481,1.24065,0.9607,0.93238,0.95431,0.68794,0.90869,0.46578,1.29936,9.109e-05,9.109e-05,9.109e-05
29,951.434,0.76439,0.52526,1.24146,0.95657,0.93404,0.9699,0.69742,0.93435,0.50927,1.33634,9.076e-05,9.076e-05,9.076e-05
30,984.144,0.76455,0.52569,1.24278,0.94844,0.93414,0.96707,0.69977,0.93659,0.4871,1.38865,9.043e-05,9.043e-05,9.043e-05
31,1016.85,0.78657,0.55405,1.26691,0.9404,0.93707,0.94999,0.69465,0.93818,0.5088,1.36617,9.01e-05,9.01e-05,9.01e-05
32,1049.51,0.77323,0.53001,1.24465,0.96256,0.93514,0.9703,0.70246,0.91947,0.49794,1.32623,8.977e-05,8.977e-05,8.977e-05
33,1082.33,0.75891,0.523,1.24129,0.96615,0.95139,0.96971,0.7124,0.91896,0.46858,1.34648,8.944e-05,8.944e-05,8.944e-05
34,1115.19,0.75473,0.5204,1.24086,0.93191,0.94407,0.96166,0.70434,0.9304,0.49659,1.31699,8.911e-05,8.911e-05,8.911e-05
35,1147.88,0.74383,0.52136,1.23037,0.9402,0.91018,0.95815,0.69055,0.94086,0.51305,1.34459,8.878e-05,8.878e-05,8.878e-05
36,1180.75,0.72874,0.50215,1.21099,0.96139,0.93412,0.96491,0.71075,0.90936,0.45265,1.31336,8.845e-05,8.845e-05,8.845e-05
37,1213.46,0.76824,0.54765,1.22798,0.95371,0.92802,0.95613,0.69137,0.94265,0.4716,1.34749,8.812e-05,8.812e-05,8.812e-05
38,1246.14,0.765,0.52227,1.23738,0.94953,0.95162,0.95899,0.70976,0.88554,0.44464,1.29237,8.779e-05,8.779e-05,8.779e-05
