epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10092,1.30813,2.8437,1.63686,0.35886,0.21057,0.35693,0.19927,1.49621,2.80545,2.08947,0.000470795,0.000470795,0.000470795
2,17.4683,1.27061,2.09193,1.61709,0.43439,0.53928,0.47191,0.23484,1.90226,3.54568,2.29451,0.000944002,0.000944002,0.000944002
3,25.6655,1.33128,1.85194,1.65269,0.37633,0.41688,0.29303,0.1287,1.95955,3.60795,2.32145,0.00141407,0.00141407,0.00141407
4,33.7718,1.29383,1.64121,1.61173,0.66256,0.69369,0.69069,0.37292,1.67341,1.9976,2.09516,0.00141485,0.00141485,0.00141485
5,41.9366,1.27269,1.46995,1.58235,0.61881,0.6702,0.65029,0.36141,1.56356,1.90596,2.0376,0.00141014,0.00141014,0.00141014
6,49.9869,1.24293,1.39867,1.55593,0.70681,0.56494,0.6065,0.34401,1.56612,1.61059,1.94686,0.00140542,0.00140542,0.00140542
7,58.0077,1.21576,1.30764,1.54104,0.77876,0.82059,0.8601,0.53929,1.31091,1.09666,1.64103,0.00140071,0.00140071,0.00140071
8,66.0388,1.16711,1.17066,1.48928,0.7504,0.72666,0.78954,0.46933,1.31776,1.33938,1.61713,0.00139599,0.00139599,0.00139599
9,74.028,1.15739,1.15693,1.46843,0.85475,0.74287,0.8582,0.53287,1.29968,1.12073,1.60813,0.00139127,0.00139127,0.00139127
10,81.9848,1.12235,1.10903,1.46208,0.82874,0.75701,0.83547,0.50761,1.35172,1.1041,1.70408,0.00138656,0.00138656,0.00138656
11,89.9561,1.14443,1.08706,1.46141,0.82283,0.7745,0.84922,0.53519,1.26278,0.98706,1.59669,0.00138184,0.00138184,0.00138184
12,97.9147,1.12739,1.08712,1.45597,0.87089,0.80173,0.8684,0.54336,1.2793,0.9649,1.60226,0.00137713,0.00137713,0.00137713
13,105.901,1.10816,1.04073,1.42987,0.86606,0.84302,0.90235,0.58728,1.20356,0.88945,1.54326,0.00137241,0.00137241,0.00137241
14,113.886,1.13016,1.01145,1.45069,0.90569,0.81778,0.90325,0.58615,1.19196,0.89252,1.47746,0.0013677,0.0013677,0.0013677
15,121.848,1.07216,0.97208,1.41369,0.89237,0.81804,0.89292,0.56416,1.2493,0.93073,1.61461,0.00136298,0.00136298,0.00136298
16,129.82,1.07258,0.95331,1.41399,0.90371,0.8792,0.93252,0.61922,1.12273,0.76613,1.43175,0.00135826,0.00135826,0.00135826
17,137.812,1.04533,0.92328,1.39706,0.90691,0.88872,0.91962,0.5914,1.17646,0.8054,1.48636,0.00135355,0.00135355,0.00135355
18,145.799,1.07217,0.92868,1.40552,0.82777,0.84578,0.89946,0.59346,1.19013,0.87919,1.46809,0.00134883,0.00134883,0.00134883
19,153.798,1.02634,0.89719,1.37708,0.85107,0.85884,0.90297,0.61072,1.13222,0.78613,1.42708,0.00134412,0.00134412,0.00134412
20,161.765,1.04714,0.89455,1.39049,0.86454,0.87814,0.91351,0.59741,1.1629,0.78288,1.46406,0.0013394,0.0013394,0.0013394
21,169.733,1.03112,0.86378,1.37555,0.8875,0.86829,0.9097,0.61622,1.08353,0.71669,1.40925,0.00133469,0.00133469,0.00133469
22,177.694,1.00734,0.85284,1.36145,0.88881,0.89866,0.91909,0.62115,1.12602,0.73659,1.43715,0.00132997,0.00132997,0.00132997
23,185.664,1.02088,0.86178,1.36139,0.9092,0.88192,0.93347,0.62229,1.11868,0.74167,1.41555,0.00132525,0.00132525,0.00132525
24,193.617,1.04923,0.85827,1.38897,0.72293,0.64672,0.70139,0.44307,1.36366,1.23624,1.71945,0.00132054,0.00132054,0.00132054
25,201.617,1.01782,0.84978,1.36973,0.87956,0.88023,0.92746,0.62721,1.12195,0.70712,1.43696,0.00131582,0.00131582,0.00131582
26,209.625,0.99004,0.81403,1.34915,0.88956,0.89799,0.92908,0.62669,1.1082,0.73246,1.38484,0.00131111,0.00131111,0.00131111
27,217.634,0.99815,0.82095,1.34686,0.82954,0.84665,0.88612,0.577,1.20726,0.80238,1.50226,0.00130639,0.00130639,0.00130639
28,225.57,0.99496,0.8173,1.33536,0.89272,0.86569,0.93027,0.63523,1.08523,0.71635,1.3812,0.00130168,0.00130168,0.00130168
29,233.553,0.98577,0.79257,1.34281,0.89818,0.8509,0.91809,0.62828,1.09433,0.68666,1.41334,0.00129696,0.00129696,0.00129696
30,241.54,0.9746,0.809,1.33796,0.87695,0.88427,0.92376,0.59865,1.15396,0.71648,1.44776,0.00129224,0.00129224,0.00129224
31,249.563,0.97301,0.8009,1.32683,0.89342,0.90127,0.93084,0.62926,1.08951,0.65215,1.40276,0.00128753,0.00128753,0.00128753
32,257.522,0.96988,0.75518,1.3155,0.88481,0.91717,0.92907,0.62456,1.10068,0.67292,1.39306,0.00128281,0.00128281,0.00128281
33,265.498,0.94867,0.78465,1.31833,0.92619,0.92472,0.95753,0.65528,1.07428,0.61188,1.35216,0.0012781,0.0012781,0.0012781
34,273.459,0.95549,0.75096,1.32204,0.8997,0.89702,0.92078,0.63193,1.06396,0.62438,1.38922,0.00127338,0.00127338,0.00127338
35,281.445,0.94995,0.7441,1.31382,0.90732,0.8901,0.9275,0.63895,1.07321,0.65391,1.35855,0.00126867,0.00126867,0.00126867
36,289.422,0.92246,0.73189,1.2941,0.9171,0.88142,0.92214,0.62252,1.11208,0.69662,1.42634,0.00126395,0.00126395,0.00126395
37,297.392,0.97165,0.76006,1.32358,0.90987,0.88419,0.94011,0.63199,1.09616,0.66552,1.37334,0.00125923,0.00125923,0.00125923
38,305.38,0.97595,0.75222,1.32916,0.91853,0.90675,0.94792,0.64353,1.09851,0.60304,1.40696,0.00125452,0.00125452,0.00125452
39,313.368,0.92776,0.72591,1.29924,0.88952,0.91576,0.93146,0.649,1.06015,0.65545,1.37443,0.0012498,0.0012498,0.0012498
40,321.341,0.91613,0.69581,1.28671,0.92754,0.92574,0.94942,0.65723,1.0744,0.61227,1.35186,0.00124509,0.00124509,0.00124509
41,329.35,0.92877,0.71072,1.28662,0.93524,0.90024,0.94385,0.66106,1.04662,0.58349,1.34662,0.00124037,0.00124037,0.00124037
42,337.343,0.93836,0.71812,1.30348,0.92479,0.89979,0.9417,0.64921,1.0341,0.60432,1.32802,0.00123566,0.00123566,0.00123566
43,345.324,0.92366,0.71569,1.28916,0.87764,0.90345,0.93036,0.60852,1.11121,0.66832,1.39054,0.00123094,0.00123094,0.00123094
44,353.308,0.92393,0.72438,1.29683,0.90228,0.92469,0.94618,0.65892,1.04883,0.60155,1.35077,0.00122622,0.00122622,0.00122622
45,361.26,0.90705,0.68803,1.28937,0.87908,0.89461,0.91839,0.63201,1.05938,0.61621,1.37831,0.00122151,0.00122151,0.00122151
46,369.216,0.91821,0.70601,1.29515,0.90584,0.9122,0.94083,0.64504,1.06613,0.64032,1.3523,0.00121679,0.00121679,0.00121679
47,377.185,0.90497,0.70125,1.27866,0.95774,0.91342,0.94954,0.6641,1.02449,0.59637,1.31771,0.00121208,0.00121208,0.00121208
48,385.144,0.88842,0.66344,1.26711,0.90392,0.92192,0.93775,0.65935,1.03681,0.60961,1.35311,0.00120736,0.00120736,0.00120736
49,393.13,0.90761,0.70332,1.27899,0.93535,0.94818,0.95885,0.68805,0.98609,0.55421,1.28223,0.00120265,0.00120265,0.00120265
50,401.105,0.89593,0.67413,1.26699,0.94386,0.93743,0.96622,0.68747,1.00566,0.56146,1.29591,0.00119793,0.00119793,0.00119793
51,409.094,0.88181,0.65668,1.2548,0.95355,0.93138,0.96235,0.67574,1.02686,0.57547,1.29083,0.00119322,0.00119322,0.00119322
52,417.066,0.88406,0.67019,1.27323,0.92706,0.90338,0.94322,0.63935,1.10077,0.63697,1.34724,0.0011885,0.0011885,0.0011885
53,425.073,0.88522,0.66342,1.26464,0.95236,0.91385,0.95866,0.66739,1.01389,0.56957,1.32043,0.00118378,0.00118378,0.00118378
54,433.041,0.88605,0.67732,1.26777,0.96854,0.94154,0.96221,0.68185,0.99702,0.52502,1.28859,0.00117907,0.00117907,0.00117907
55,441.019,0.85881,0.65156,1.25293,0.93536,0.92647,0.94902,0.6748,1.01132,0.56189,1.32022,0.00117435,0.00117435,0.00117435
56,449,0.87349,0.64794,1.2644,0.95261,0.92943,0.95972,0.6834,1.0002,0.51764,1.32528,0.00116964,0.00116964,0.00116964
57,456.988,0.85249,0.63741,1.24331,0.91259,0.92169,0.95004,0.67675,0.96936,0.53923,1.27618,0.00116492,0.00116492,0.00116492
58,464.959,0.86582,0.64066,1.24721,0.93674,0.93982,0.96093,0.68611,0.97743,0.51233,1.27272,0.00116021,0.00116021,0.00116021
59,472.96,0.86318,0.64819,1.25085,0.937,0.93315,0.96569,0.67586,1.0084,0.50234,1.30919,0.00115549,0.00115549,0.00115549
60,480.924,0.85933,0.63142,1.24503,0.9225,0.86226,0.93624,0.63084,1.10927,0.62974,1.38049,0.00115077,0.00115077,0.00115077
61,488.885,0.86946,0.64397,1.24954,0.95289,0.92533,0.95491,0.68709,0.98512,0.5322,1.27259,0.00114606,0.00114606,0.00114606
62,496.824,0.85592,0.62877,1.24688,0.915,0.92789,0.94848,0.66032,1.04704,0.56337,1.35452,0.00114134,0.00114134,0.00114134
63,504.764,0.85952,0.61775,1.23639,0.94276,0.94572,0.96371,0.68643,0.98217,0.51324,1.28297,0.00113663,0.00113663,0.00113663
64,512.709,0.85755,0.62904,1.24394,0.96435,0.94502,0.96551,0.66886,1.01559,0.52212,1.308,0.00113191,0.00113191,0.00113191
65,520.662,0.83373,0.60671,1.21981,0.94044,0.94078,0.96028,0.6818,0.99616,0.51747,1.28462,0.0011272,0.0011272,0.0011272
66,528.591,0.86057,0.60995,1.2371,0.93389,0.93285,0.95115,0.67189,1.01622,0.53593,1.30703,0.00112248,0.00112248,0.00112248
67,536.586,0.85535,0.64021,1.25175,0.94498,0.93178,0.95895,0.68108,1.01775,0.53637,1.30301,0.00111776,0.00111776,0.00111776
