epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3094,1.33994,2.50525,1.64504,0.94403,0.04615,0.26423,0.14438,1.57707,3.11253,1.91066,0.0670872,3.29457e-05,3.29457e-05
2,20.7439,1.15351,1.70284,1.5076,0.62505,0.53222,0.6356,0.38636,1.24772,1.74745,1.68413,0.033787,6.60603e-05,6.60603e-05
3,29.0257,1.1279,1.45564,1.47664,0.63777,0.76373,0.76701,0.49729,1.09787,1.28441,1.43214,0.000486552,9.8955e-05,9.8955e-05
4,37.1233,1.05956,1.27821,1.3946,0.77136,0.78432,0.8207,0.52928,1.1461,1.06193,1.41905,9.901e-05,9.901e-05,9.901e-05
5,45.2563,1.05367,1.20531,1.38246,0.85056,0.81724,0.87375,0.55907,1.13479,0.98393,1.40614,9.868e-05,9.868e-05,9.868e-05
6,53.3629,1.04075,1.13527,1.37006,0.82827,0.85407,0.89109,0.57879,1.0893,0.94341,1.37996,9.835e-05,9.835e-05,9.835e-05
7,61.4596,1.00045,1.07805,1.34231,0.84036,0.85819,0.89937,0.60041,1.05448,0.88899,1.34256,9.802e-05,9.802e-05,9.802e-05
8,69.5422,0.96011,0.99937,1.31447,0.92159,0.85182,0.91223,0.61401,1.08598,0.84622,1.35943,9.769e-05,9.769e-05,9.769e-05
9,77.6742,0.98945,0.98626,1.31186,0.87452,0.89529,0.92357,0.61933,1.04751,0.79873,1.33323,9.736e-05,9.736e-05,9.736e-05
10,85.7299,0.93458,0.93758,1.29182,0.91772,0.89515,0.93832,0.63274,1.05216,0.76767,1.32839,9.703e-05,9.703e-05,9.703e-05
11,93.8895,0.95181,0.91992,1.30175,0.93717,0.88004,0.93708,0.65148,1.00222,0.73247,1.27472,9.67e-05,9.67e-05,9.67e-05
12,101.979,0.95914,0.92697,1.29097,0.91678,0.90317,0.93905,0.65157,0.98752,0.72739,1.26059,9.637e-05,9.637e-05,9.637e-05
13,110.119,0.909,0.85383,1.25792,0.92361,0.92058,0.94768,0.66365,0.98294,0.69277,1.25072,9.604e-05,9.604e-05,9.604e-05
14,118.185,0.92058,0.87251,1.2713,0.92777,0.90462,0.94834,0.63058,1.1263,0.74909,1.36749,9.571e-05,9.571e-05,9.571e-05
15,126.249,0.89926,0.86131,1.26443,0.91853,0.9222,0.94474,0.64902,1.01217,0.66776,1.28935,9.538e-05,9.538e-05,9.538e-05
16,134.38,0.88662,0.80417,1.25133,0.90396,0.9256,0.94184,0.64637,1.01262,0.68003,1.27533,9.505e-05,9.505e-05,9.505e-05
17,142.549,0.86837,0.80229,1.249,0.92181,0.92311,0.94193,0.65517,0.98824,0.63606,1.27004,9.472e-05,9.472e-05,9.472e-05
18,150.63,0.88409,0.79938,1.249,0.94469,0.9318,0.95981,0.69038,0.92996,0.61607,1.22283,9.439e-05,9.439e-05,9.439e-05
19,158.818,0.85777,0.78073,1.22958,0.93048,0.94518,0.95135,0.67024,0.97138,0.63249,1.24496,9.406e-05,9.406e-05,9.406e-05
20,166.883,0.88991,0.79347,1.24302,0.93149,0.9253,0.94558,0.66045,0.98142,0.63695,1.2468,9.373e-05,9.373e-05,9.373e-05
21,175.038,0.87704,0.77669,1.23037,0.95042,0.91955,0.95919,0.67951,0.96411,0.60534,1.24671,9.34e-05,9.34e-05,9.34e-05
22,183.15,0.84705,0.76685,1.21825,0.94298,0.9236,0.94111,0.66615,0.96095,0.60502,1.2519,9.307e-05,9.307e-05,9.307e-05
23,191.205,0.85583,0.75049,1.21655,0.94794,0.93265,0.95719,0.68602,0.93858,0.58574,1.22127,9.274e-05,9.274e-05,9.274e-05
24,199.299,0.85745,0.74961,1.22077,0.95202,0.94428,0.95633,0.67643,0.98044,0.59127,1.23033,9.241e-05,9.241e-05,9.241e-05
25,207.406,0.85709,0.72539,1.21513,0.95716,0.93197,0.95605,0.66598,0.98069,0.62141,1.23824,9.208e-05,9.208e-05,9.208e-05
26,215.462,0.83302,0.72053,1.20746,0.97785,0.92537,0.96856,0.68675,0.94699,0.56774,1.21155,9.175e-05,9.175e-05,9.175e-05
27,223.524,0.84096,0.71237,1.20159,0.94481,0.91115,0.95211,0.66596,0.98979,0.62164,1.2484,9.142e-05,9.142e-05,9.142e-05
28,231.6,0.81763,0.69597,1.17922,0.94666,0.94548,0.96584,0.68978,0.95809,0.57163,1.21542,9.109e-05,9.109e-05,9.109e-05
29,239.669,0.8109,0.68716,1.19705,0.9694,0.93726,0.96413,0.69389,0.95795,0.57667,1.2349,9.076e-05,9.076e-05,9.076e-05
30,247.72,0.81354,0.69339,1.18926,0.96467,0.93771,0.96394,0.69484,0.92698,0.57148,1.19795,9.043e-05,9.043e-05,9.043e-05
31,255.835,0.81581,0.70274,1.18693,0.96042,0.94449,0.96113,0.69411,0.90997,0.55583,1.18593,9.01e-05,9.01e-05,9.01e-05
32,263.893,0.81971,0.67155,1.18169,0.94658,0.95123,0.96182,0.68049,0.93824,0.55576,1.2256,8.977e-05,8.977e-05,8.977e-05
33,271.965,0.80062,0.67618,1.18621,0.95361,0.92728,0.959,0.69014,0.96409,0.54133,1.23472,8.944e-05,8.944e-05,8.944e-05
34,280.185,0.79689,0.65074,1.18009,0.97011,0.94781,0.96867,0.69618,0.93054,0.54899,1.21151,8.911e-05,8.911e-05,8.911e-05
35,288.31,0.78796,0.66343,1.17792,0.95445,0.93983,0.95966,0.69411,0.92754,0.54824,1.19462,8.878e-05,8.878e-05,8.878e-05
36,296.417,0.78879,0.64073,1.16945,0.96758,0.94829,0.96737,0.69316,0.94864,0.53591,1.22127,8.845e-05,8.845e-05,8.845e-05
37,304.725,0.82061,0.67099,1.1851,0.9535,0.9424,0.95838,0.69411,0.91028,0.54174,1.18883,8.812e-05,8.812e-05,8.812e-05
38,312.913,0.81672,0.65885,1.18247,0.95915,0.92977,0.96178,0.70082,0.90806,0.5396,1.19553,8.779e-05,8.779e-05,8.779e-05
39,321.027,0.78253,0.62401,1.16581,0.9533,0.94661,0.96243,0.7049,0.90667,0.51341,1.1959,8.746e-05,8.746e-05,8.746e-05
40,329.149,0.75933,0.61959,1.15303,0.93843,0.94966,0.96027,0.69222,0.94498,0.55962,1.20509,8.713e-05,8.713e-05,8.713e-05
41,337.345,0.7736,0.63208,1.15862,0.94337,0.95096,0.96013,0.70083,0.9244,0.52661,1.19381,8.68e-05,8.68e-05,8.68e-05
42,345.453,0.79304,0.62998,1.17799,0.946,0.95746,0.95965,0.69846,0.93118,0.55331,1.20545,8.647e-05,8.647e-05,8.647e-05
43,353.629,0.767,0.6256,1.15864,0.95222,0.95139,0.9633,0.70893,0.92535,0.51848,1.21112,8.614e-05,8.614e-05,8.614e-05
44,361.807,0.77479,0.61833,1.16878,0.93988,0.94513,0.96258,0.70676,0.91518,0.53219,1.19731,8.581e-05,8.581e-05,8.581e-05
45,369.961,0.74214,0.58926,1.14746,0.95908,0.94459,0.95884,0.69983,0.91615,0.52522,1.19731,8.548e-05,8.548e-05,8.548e-05
46,378.037,0.75147,0.59726,1.15634,0.94661,0.9401,0.9574,0.69522,0.93572,0.5312,1.20605,8.515e-05,8.515e-05,8.515e-05
47,386.259,0.74999,0.5945,1.15067,0.95596,0.95308,0.96158,0.69785,0.91157,0.52504,1.18988,8.482e-05,8.482e-05,8.482e-05
48,394.364,0.74073,0.5836,1.14028,0.96052,0.93303,0.9612,0.69239,0.94825,0.52987,1.21514,8.449e-05,8.449e-05,8.449e-05
49,402.486,0.75083,0.60219,1.14449,0.96241,0.92698,0.95377,0.68761,0.95731,0.5265,1.2149,8.416e-05,8.416e-05,8.416e-05
50,410.653,0.74607,0.58717,1.1382,0.96228,0.9413,0.95722,0.69582,0.91562,0.50495,1.19873,8.383e-05,8.383e-05,8.383e-05
51,418.924,0.7307,0.57089,1.13226,0.94071,0.94144,0.96052,0.70109,0.91644,0.53043,1.19389,8.35e-05,8.35e-05,8.35e-05
52,427.017,0.73636,0.57908,1.14221,0.96387,0.9516,0.96954,0.70388,0.93684,0.50114,1.19346,8.317e-05,8.317e-05,8.317e-05
53,435.187,0.73774,0.57492,1.13856,0.95758,0.95799,0.96934,0.70057,0.92501,0.50771,1.21011,8.284e-05,8.284e-05,8.284e-05
54,443.342,0.73607,0.58237,1.13333,0.95111,0.95205,0.96525,0.706,0.91188,0.5011,1.18818,8.251e-05,8.251e-05,8.251e-05
55,451.437,0.71764,0.5741,1.12815,0.97321,0.94734,0.96966,0.71417,0.91814,0.48743,1.17811,8.218e-05,8.218e-05,8.218e-05
56,459.735,0.73074,0.5598,1.14081,0.96045,0.95566,0.96501,0.71019,0.9033,0.48358,1.1858,8.185e-05,8.185e-05,8.185e-05
57,467.783,0.70998,0.55136,1.12074,0.95951,0.94882,0.95823,0.69324,0.94557,0.49709,1.21205,8.152e-05,8.152e-05,8.152e-05
58,475.841,0.7075,0.54365,1.12225,0.95744,0.96109,0.96692,0.70481,0.93041,0.49627,1.2133,8.119e-05,8.119e-05,8.119e-05
59,483.891,0.70857,0.56917,1.11948,0.95855,0.95035,0.96655,0.7,0.91648,0.48638,1.20875,8.086e-05,8.086e-05,8.086e-05
60,491.995,0.71743,0.55374,1.12547,0.96331,0.95737,0.96958,0.70956,0.87935,0.47882,1.1676,8.053e-05,8.053e-05,8.053e-05
61,500.049,0.71056,0.54698,1.12135,0.96707,0.93593,0.95993,0.70341,0.88445,0.48509,1.16817,8.02e-05,8.02e-05,8.02e-05
62,508.106,0.70429,0.55389,1.12231,0.96163,0.9488,0.96561,0.70523,0.90253,0.48052,1.18076,7.987e-05,7.987e-05,7.987e-05
63,516.138,0.71314,0.544,1.1098,0.95365,0.95909,0.96196,0.69729,0.93792,0.48573,1.22301,7.954e-05,7.954e-05,7.954e-05
64,524.183,0.70373,0.55563,1.11321,0.95893,0.9496,0.96667,0.69409,0.94313,0.49806,1.21814,7.921e-05,7.921e-05,7.921e-05
65,532.262,0.66872,0.5207,1.0932,0.97108,0.96057,0.9672,0.70852,0.88679,0.47505,1.18034,7.888e-05,7.888e-05,7.888e-05
66,540.304,0.69284,0.52661,1.10841,0.95837,0.94504,0.96339,0.70961,0.8826,0.46896,1.17141,7.855e-05,7.855e-05,7.855e-05
