epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2338,1.35088,2.55145,1.64609,0.00296,0.7878,0.14085,0.0583,1.74042,3.33806,2.15474,0.0670576,3.29457e-06,3.29457e-06
2,20.5891,1.16822,1.85244,1.50885,0.64508,0.26179,0.3899,0.22855,1.52584,2.36892,1.92736,0.0337275,6.60603e-06,6.60603e-06
3,28.7435,1.15502,1.67634,1.50099,0.49817,0.50758,0.57114,0.36033,1.23187,1.69143,1.55308,0.000397492,9.8955e-06,9.8955e-06
4,36.8217,1.11456,1.59531,1.46134,0.50972,0.55124,0.60021,0.38651,1.18298,1.56333,1.50739,9.901e-06,9.901e-06,9.901e-06
5,44.9673,1.11009,1.55944,1.4492,0.54385,0.603,0.65019,0.41013,1.17138,1.52152,1.48385,9.868e-06,9.868e-06,9.868e-06
6,53.0431,1.12293,1.54355,1.4451,0.58506,0.62706,0.68602,0.44385,1.13399,1.44945,1.44843,9.835e-06,9.835e-06,9.835e-06
7,61.1392,1.10205,1.50733,1.45122,0.57752,0.65193,0.70567,0.44859,1.15462,1.40681,1.45066,9.802e-06,9.802e-06,9.802e-06
8,69.1938,1.07675,1.42881,1.41921,0.59161,0.662,0.7244,0.4661,1.12247,1.36871,1.43881,9.769e-06,9.769e-06,9.769e-06
9,77.3165,1.06394,1.43183,1.40479,0.60601,0.71605,0.74813,0.48124,1.13185,1.33539,1.42446,9.736e-06,9.736e-06,9.736e-06
10,85.3967,1.03409,1.37648,1.39153,0.65609,0.73582,0.77712,0.50775,1.10101,1.30167,1.39475,9.703e-06,9.703e-06,9.703e-06
11,93.5181,1.04715,1.36315,1.40403,0.6865,0.75355,0.78469,0.50644,1.12175,1.27988,1.41646,9.67e-06,9.67e-06,9.67e-06
12,101.626,1.04184,1.37416,1.3865,0.7189,0.76001,0.80272,0.52208,1.10192,1.23833,1.39838,9.637e-06,9.637e-06,9.637e-06
13,109.861,1.02538,1.31961,1.37315,0.71767,0.78764,0.81254,0.52519,1.0897,1.21277,1.3826,9.604e-06,9.604e-06,9.604e-06
14,118.059,1.04276,1.32281,1.38976,0.76129,0.79031,0.81837,0.53016,1.07629,1.19333,1.36916,9.571e-06,9.571e-06,9.571e-06
15,126.213,1.02922,1.31798,1.38869,0.77056,0.79454,0.82906,0.53521,1.08135,1.18315,1.37118,9.538e-06,9.538e-06,9.538e-06
16,134.323,1.02444,1.26614,1.38593,0.78243,0.80353,0.82966,0.53637,1.09038,1.16828,1.38738,9.505e-06,9.505e-06,9.505e-06
17,142.404,0.99688,1.27121,1.36294,0.76288,0.8102,0.83561,0.55381,1.06185,1.12283,1.35715,9.472e-06,9.472e-06,9.472e-06
18,150.533,0.99988,1.25166,1.36793,0.79719,0.81405,0.8598,0.56559,1.04724,1.10523,1.34695,9.439e-06,9.439e-06,9.439e-06
