epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8619,1.34356,2.5368,1.68201,0.45343,0.5138,0.41901,0.18138,2.03387,2.73707,2.45766,0.000470795,0.000470795,0.000470795
2,27.4014,1.38909,1.61042,1.69457,0.33995,0.39828,0.32693,0.13781,2.28155,5.26374,2.81148,0.000944002,0.000944002,0.000944002
3,40.5638,1.42659,1.59318,1.70813,0.36285,0.36754,0.33779,0.13754,2.39935,8.34991,2.77964,0.00141407,0.00141407,0.00141407
4,53.6224,1.39609,1.51329,1.6797,0.39388,0.45484,0.32731,0.15501,1.8784,9.60246,2.47026,0.00141485,0.00141485,0.00141485
5,66.6404,1.36535,1.42562,1.64727,0.54563,0.66868,0.61196,0.33421,1.56856,1.76996,2.00539,0.00141014,0.00141014,0.00141014
6,79.7349,1.32839,1.32412,1.61183,0.68202,0.63945,0.69866,0.38225,1.61466,1.71713,1.96048,0.00140542,0.00140542,0.00140542
7,92.8292,1.30003,1.29009,1.60466,0.76442,0.7569,0.79519,0.47917,1.38519,1.31325,1.71385,0.00140071,0.00140071,0.00140071
8,105.9,1.21985,1.16092,1.53883,0.77945,0.74749,0.80055,0.47001,1.4327,1.15996,1.7488,0.00139599,0.00139599,0.00139599
9,118.94,1.20816,1.14466,1.5192,0.73189,0.77436,0.79283,0.45633,1.48094,1.30556,1.8137,0.00139127,0.00139127,0.00139127
10,131.972,1.16829,1.07579,1.48589,0.81009,0.79264,0.85185,0.53039,1.3556,1.02456,1.73835,0.00138656,0.00138656,0.00138656
11,145.043,1.15569,1.0696,1.47546,0.78422,0.82829,0.85029,0.54211,1.34006,1.027,1.64669,0.00138184,0.00138184,0.00138184
12,158.108,1.16402,1.09758,1.48141,0.80132,0.70716,0.83142,0.50765,1.33448,1.29173,1.70473,0.00137713,0.00137713,0.00137713
13,171.128,1.10025,0.99383,1.42837,0.86663,0.75808,0.88285,0.57168,1.21445,0.94808,1.54591,0.00137241,0.00137241,0.00137241
14,184.212,1.14698,1.01739,1.45595,0.7833,0.78981,0.85064,0.53311,1.29023,0.95977,1.62773,0.0013677,0.0013677,0.0013677
15,197.237,1.10303,0.97944,1.43412,0.88242,0.80796,0.88881,0.55159,1.20938,0.85703,1.50096,0.00136298,0.00136298,0.00136298
16,210.246,1.10243,0.93564,1.43419,0.76221,0.80457,0.86082,0.55404,1.27465,0.93709,1.62381,0.00135826,0.00135826,0.00135826
17,223.285,1.08935,0.93817,1.43288,0.92118,0.87221,0.91753,0.60158,1.14954,0.70501,1.47934,0.00135355,0.00135355,0.00135355
18,236.328,1.07065,0.91184,1.41396,0.84655,0.85314,0.91476,0.59895,1.1554,0.79071,1.43461,0.00134883,0.00134883,0.00134883
19,249.348,1.05117,0.89358,1.3927,0.846,0.88748,0.90544,0.59999,1.175,0.7882,1.50639,0.00134412,0.00134412,0.00134412
20,262.342,1.08661,0.9059,1.4102,0.91544,0.82562,0.90281,0.57865,1.28205,0.81559,1.58425,0.0013394,0.0013394,0.0013394
21,275.349,1.06526,0.9021,1.40977,0.86728,0.85762,0.90869,0.59302,1.17646,0.82319,1.51087,0.00133469,0.00133469,0.00133469
22,288.322,1.02917,0.87503,1.37823,0.90015,0.88681,0.91974,0.61972,1.12891,0.70276,1.42818,0.00132997,0.00132997,0.00132997
23,301.378,1.04413,0.86943,1.38187,0.87918,0.88522,0.92393,0.62815,1.10298,0.73767,1.41924,0.00132525,0.00132525,0.00132525
24,314.42,1.03008,0.85608,1.37888,0.8477,0.86139,0.90275,0.59343,1.16691,0.75677,1.47159,0.00132054,0.00132054,0.00132054
25,327.424,1.03518,0.83211,1.3794,0.90588,0.91372,0.9371,0.61802,1.15531,0.75737,1.45693,0.00131582,0.00131582,0.00131582
26,340.42,1.01136,0.81949,1.36043,0.87411,0.82808,0.90282,0.60131,1.10693,0.77213,1.37829,0.00131111,0.00131111,0.00131111
27,353.439,1.00453,0.83338,1.35042,0.90063,0.90914,0.94505,0.63719,1.06647,0.65928,1.35545,0.00130639,0.00130639,0.00130639
28,366.501,0.99257,0.81241,1.33566,0.83889,0.86899,0.88772,0.55702,1.33672,0.92555,1.55709,0.00130168,0.00130168,0.00130168
29,379.578,0.97635,0.78411,1.34075,0.9225,0.89949,0.94391,0.63365,1.07504,0.66661,1.37639,0.00129696,0.00129696,0.00129696
30,392.586,0.99452,0.79453,1.34717,0.92288,0.84651,0.92193,0.62995,1.09415,0.72539,1.40218,0.00129224,0.00129224,0.00129224
31,405.589,1.01438,0.82205,1.35254,0.89632,0.84652,0.91253,0.59921,1.19007,0.71355,1.48929,0.00128753,0.00128753,0.00128753
32,418.556,1.008,0.77917,1.3426,0.93219,0.92136,0.94567,0.64498,1.0632,0.63357,1.36408,0.00128281,0.00128281,0.00128281
33,431.59,0.96285,0.77246,1.31889,0.92321,0.92763,0.95125,0.65922,1.01471,0.6042,1.30577,0.0012781,0.0012781,0.0012781
34,444.607,0.96111,0.73761,1.32128,0.9314,0.89497,0.94406,0.6429,1.03643,0.61322,1.33252,0.00127338,0.00127338,0.00127338
35,457.618,0.95933,0.74623,1.32409,0.89979,0.9042,0.93316,0.63865,1.06718,0.65541,1.37509,0.00126867,0.00126867,0.00126867
36,470.64,0.92771,0.74031,1.29375,0.9004,0.86122,0.91353,0.61838,1.12693,0.68372,1.44045,0.00126395,0.00126395,0.00126395
37,483.645,0.9698,0.77335,1.32748,0.8951,0.93716,0.95428,0.6496,1.06275,0.65193,1.36284,0.00125923,0.00125923,0.00125923
38,496.657,0.98536,0.77709,1.33364,0.92665,0.92281,0.95106,0.65405,1.04358,0.63703,1.3261,0.00125452,0.00125452,0.00125452
39,509.662,0.95344,0.74096,1.32509,0.91217,0.90143,0.92579,0.62137,1.12756,0.68742,1.44204,0.0012498,0.0012498,0.0012498
40,522.63,0.91218,0.69951,1.28459,0.93414,0.91747,0.95532,0.67747,1.01086,0.59507,1.30849,0.00124509,0.00124509,0.00124509
41,535.686,0.93394,0.73275,1.28912,0.89082,0.9223,0.94139,0.64592,1.04587,0.60099,1.33068,0.00124037,0.00124037,0.00124037
42,548.664,0.94862,0.73086,1.31514,0.94793,0.91463,0.95326,0.66629,1.03173,0.59835,1.32126,0.00123566,0.00123566,0.00123566
43,561.822,0.93436,0.72693,1.29822,0.91728,0.89861,0.94211,0.66642,1.01341,0.59506,1.29173,0.00123094,0.00123094,0.00123094
44,574.803,0.94037,0.71651,1.30973,0.89902,0.92686,0.94234,0.64876,1.05236,0.61124,1.34715,0.00122622,0.00122622,0.00122622
45,587.797,0.91524,0.67655,1.28681,0.93947,0.93362,0.96024,0.68012,1.00868,0.54326,1.31371,0.00122151,0.00122151,0.00122151
46,600.818,0.91529,0.68175,1.28909,0.9478,0.89928,0.94608,0.67301,1.01309,0.57688,1.29525,0.00121679,0.00121679,0.00121679
47,613.83,0.92028,0.70089,1.28739,0.90262,0.90524,0.93858,0.66046,1.02462,0.6312,1.31313,0.00121208,0.00121208,0.00121208
48,626.915,0.89311,0.66441,1.26612,0.91371,0.91731,0.95057,0.67086,1.01569,0.58616,1.29707,0.00120736,0.00120736,0.00120736
49,639.957,0.89767,0.69369,1.26499,0.9263,0.93253,0.95733,0.66989,1.03586,0.60489,1.30295,0.00120265,0.00120265,0.00120265
50,652.931,0.89854,0.67567,1.27171,0.92915,0.91705,0.94586,0.67675,0.99167,0.59711,1.27226,0.00119793,0.00119793,0.00119793
51,665.939,0.88636,0.65805,1.26168,0.9429,0.89477,0.95286,0.6715,1.01966,0.56934,1.29,0.00119322,0.00119322,0.00119322
52,678.982,0.87827,0.64268,1.26532,0.92131,0.93086,0.94764,0.65878,1.05202,0.59671,1.3174,0.0011885,0.0011885,0.0011885
53,692.056,0.89489,0.64638,1.26433,0.93759,0.93839,0.95397,0.67003,1.00809,0.53993,1.2914,0.00118378,0.00118378,0.00118378
54,705.044,0.89823,0.66271,1.27425,0.94344,0.93227,0.95386,0.67345,1.01328,0.57544,1.28559,0.00117907,0.00117907,0.00117907
55,718.048,0.85412,0.65178,1.24098,0.92284,0.94509,0.94863,0.66049,1.01403,0.57286,1.29254,0.00117435,0.00117435,0.00117435
56,731.069,0.87995,0.64577,1.2668,0.95847,0.93838,0.96209,0.68982,0.96926,0.53595,1.26051,0.00116964,0.00116964,0.00116964
57,744.148,0.85927,0.62277,1.25179,0.95029,0.93647,0.96667,0.68673,0.97045,0.53537,1.25781,0.00116492,0.00116492,0.00116492
58,757.154,0.8797,0.63537,1.24611,0.94679,0.93474,0.95574,0.67545,1.00074,0.55771,1.27946,0.00116021,0.00116021,0.00116021
59,770.21,0.86725,0.67201,1.24664,0.91522,0.93724,0.95037,0.66623,1.03875,0.55495,1.37201,0.00115549,0.00115549,0.00115549
60,783.199,0.87073,0.62434,1.25304,0.94056,0.91545,0.95253,0.68233,0.96794,0.54573,1.2743,0.00115077,0.00115077,0.00115077
61,796.201,0.85929,0.62942,1.2404,0.91104,0.94051,0.94717,0.6801,0.96079,0.57444,1.25293,0.00114606,0.00114606,0.00114606
62,809.275,0.85479,0.63519,1.24535,0.91729,0.94193,0.94938,0.67911,1.01018,0.59254,1.3292,0.00114134,0.00114134,0.00114134
63,822.333,0.86589,0.6325,1.24166,0.94384,0.93515,0.94873,0.67874,0.93503,0.53575,1.24568,0.00113663,0.00113663,0.00113663
64,835.426,0.86217,0.63505,1.2471,0.93832,0.93977,0.96524,0.67863,1.00965,0.54483,1.28838,0.00113191,0.00113191,0.00113191
65,848.538,0.81965,0.60216,1.21596,0.95012,0.93837,0.95651,0.69058,0.96579,0.50311,1.26649,0.0011272,0.0011272,0.0011272
66,861.734,0.85006,0.61557,1.23638,0.9407,0.94947,0.95003,0.6635,1.01957,0.53505,1.306,0.00112248,0.00112248,0.00112248
67,874.83,0.84725,0.62523,1.2438,0.94797,0.93982,0.96149,0.69746,0.96759,0.53179,1.266,0.00111776,0.00111776,0.00111776
68,887.878,0.85275,0.62963,1.24585,0.90484,0.94779,0.94637,0.6666,1.01162,0.55759,1.3021,0.00111305,0.00111305,0.00111305
69,900.993,0.84345,0.61644,1.23954,0.96,0.93668,0.95837,0.67669,1.02519,0.52584,1.31426,0.00110833,0.00110833,0.00110833
70,913.987,0.8629,0.63501,1.23515,0.93378,0.9322,0.96009,0.69728,0.97296,0.54433,1.2742,0.00110362,0.00110362,0.00110362
71,926.986,0.84651,0.61392,1.23297,0.94772,0.93841,0.96295,0.69706,0.97726,0.51626,1.26158,0.0010989,0.0010989,0.0010989
72,940.043,0.83245,0.60779,1.22184,0.94758,0.93469,0.96132,0.66984,1.00794,0.55079,1.27893,0.00109419,0.00109419,0.00109419
73,953.035,0.82832,0.60414,1.23306,0.94697,0.93575,0.9572,0.67901,0.95809,0.51605,1.24345,0.00108947,0.00108947,0.00108947
74,966.031,0.82552,0.58706,1.21121,0.91756,0.93429,0.9517,0.69482,0.9436,0.50754,1.23994,0.00108475,0.00108475,0.00108475
75,979.117,0.82288,0.5895,1.20814,0.94953,0.94647,0.95344,0.6782,0.97601,0.50818,1.26416,0.00108004,0.00108004,0.00108004
76,992.127,0.8371,0.58992,1.22732,0.92993,0.92545,0.95597,0.68637,1.00029,0.5386,1.29059,0.00107532,0.00107532,0.00107532
77,1005.26,0.80851,0.5886,1.2046,0.94516,0.94251,0.96052,0.67911,0.99116,0.51948,1.28711,0.00107061,0.00107061,0.00107061
78,1018.26,0.81567,0.5832,1.21568,0.93799,0.9366,0.96012,0.70115,0.94169,0.48919,1.24277,0.00106589,0.00106589,0.00106589
79,1031.3,0.80759,0.56603,1.2087,0.92729,0.93972,0.95518,0.69141,0.95768,0.5092,1.24793,0.00106118,0.00106118,0.00106118
80,1044.36,0.83935,0.58956,1.20615,0.9544,0.93067,0.96534,0.6954,0.97734,0.50531,1.25987,0.00105646,0.00105646,0.00105646
81,1057.36,0.80998,0.582,1.20147,0.92513,0.95286,0.96297,0.69545,0.9419,0.49911,1.23336,0.00105174,0.00105174,0.00105174
82,1070.39,0.79912,0.55729,1.19642,0.94309,0.95169,0.95882,0.69014,0.95281,0.49905,1.24772,0.00104703,0.00104703,0.00104703
83,1083.38,0.80111,0.56569,1.19597,0.95877,0.94699,0.96471,0.69417,0.94635,0.49827,1.23774,0.00104231,0.00104231,0.00104231
84,1096.35,0.79669,0.56617,1.19202,0.94572,0.93312,0.951,0.70357,0.93011,0.50911,1.22754,0.0010376,0.0010376,0.0010376
85,1109.42,0.79974,0.54223,1.19431,0.95547,0.94872,0.96397,0.69428,0.94603,0.48116,1.21944,0.00103288,0.00103288,0.00103288
86,1122.54,0.81884,0.55116,1.20652,0.95062,0.94136,0.96666,0.70869,0.93419,0.48881,1.21468,0.00102817,0.00102817,0.00102817
87,1135.64,0.81376,0.57273,1.20569,0.95968,0.9282,0.96048,0.69085,0.97255,0.50834,1.24989,0.00102345,0.00102345,0.00102345
88,1148.64,0.80881,0.56542,1.20378,0.94227,0.94817,0.95195,0.68594,0.94424,0.50714,1.23018,0.00101873,0.00101873,0.00101873
89,1161.67,0.79526,0.55657,1.19039,0.9487,0.94363,0.96389,0.70867,0.93542,0.48145,1.23126,0.00101402,0.00101402,0.00101402
90,1174.72,0.78945,0.5681,1.17739,0.95182,0.94881,0.95862,0.69652,0.95863,0.49646,1.25107,0.0010093,0.0010093,0.0010093
91,1187.71,0.78181,0.56058,1.1814,0.96564,0.95741,0.96564,0.70783,0.94095,0.4902,1.21695,0.00100459,0.00100459,0.00100459
92,1200.72,0.7841,0.56405,1.18539,0.95739,0.95313,0.9621,0.70196,0.90602,0.49131,1.20301,0.000999871,0.000999871,0.000999871
93,1213.8,0.78451,0.55026,1.1783,0.9503,0.94108,0.95727,0.69116,0.94973,0.50102,1.24168,0.000995156,0.000995156,0.000995156
94,1226.74,0.7882,0.54891,1.17527,0.9632,0.94655,0.96286,0.69955,0.96256,0.46022,1.25495,0.00099044,0.00099044,0.00099044
95,1239.73,0.78412,0.54852,1.17483,0.94544,0.94674,0.95579,0.71503,0.90616,0.45725,1.19876,0.000985724,0.000985724,0.000985724
