epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.8077,1.27513,2.64735,1.62871,0.39043,0.38991,0.34865,0.1834,1.65697,2.59525,2.02743,0.000470795,0.000470795,0.000470795
2,16.2428,1.24508,1.95709,1.56928,0.55543,0.52719,0.53981,0.26434,1.82484,2.22437,2.21758,0.000944002,0.000944002,0.000944002
3,23.6212,1.2787,1.74163,1.59206,0.65522,0.67404,0.69954,0.3762,1.55388,2.43388,1.93692,0.00141407,0.00141407,0.00141407
4,30.8802,1.23003,1.51815,1.5414,0.64495,0.60023,0.67622,0.38028,1.42404,1.81186,1.80438,0.00141485,0.00141485,0.00141485
5,38.0949,1.25185,1.38304,1.53491,0.75746,0.67796,0.73647,0.42216,1.50431,1.26725,1.79788,0.00141014,0.00141014,0.00141014
6,45.3086,1.20826,1.28313,1.51022,0.66603,0.78647,0.76307,0.42546,1.44003,1.60712,1.72712,0.00140542,0.00140542,0.00140542
7,52.6131,1.19333,1.23749,1.505,0.72732,0.74862,0.76612,0.44987,1.41731,1.21975,1.67877,0.00140071,0.00140071,0.00140071
8,59.8742,1.15863,1.14277,1.47403,0.78395,0.74756,0.79625,0.45991,1.53636,1.31657,1.77713,0.00139599,0.00139599,0.00139599
9,67.2049,1.14264,1.12174,1.4484,0.85642,0.79689,0.86324,0.57271,1.14274,0.9443,1.48513,0.00139127,0.00139127,0.00139127
10,74.4511,1.07434,1.02589,1.40921,0.82341,0.83776,0.88845,0.55733,1.26307,0.95535,1.57271,0.00138656,0.00138656,0.00138656
11,81.6683,1.11177,1.03087,1.43389,0.82632,0.78043,0.85676,0.54557,1.24444,0.98593,1.56521,0.00138184,0.00138184,0.00138184
12,88.8818,1.10528,1.04533,1.41929,0.89782,0.83038,0.90513,0.55462,1.27615,0.92837,1.56782,0.00137713,0.00137713,0.00137713
